"Name","Location","Category","Area","Perk","Description"
"Crate Cafe","Crate Cafe, Canggu, Bali","Work Cafes","Canggu","Free coffee on first visit (to verify)","The default morning spot. Solid wifi, good coffee, founders everywhere. Gets busy after 10am, so arrive early. | Best for: Morning work + founder density | Price: $ | BSTC perk: Free coffee on first visit (to verify)"
"Sensorium","Sensorium, Canggu, Bali","Work Cafes","Canggu","Member discount (to verify)","Excellent coffee and fast wifi, less crowded than Crate. A good focus alternative when you need to actually ship. | Best for: Focused cafe work | Price: $$ | BSTC perk: Member discount (to verify)"
"Machinery Cafe","Machinery Cafe, Canggu, Bali","Work Cafes","Canggu","Member discount (to verify)","Strong wifi and a power outlet at every table. Built for longer laptop sessions when you can't get to a desk. | Best for: All-day laptop sessions | Price: $$ | BSTC perk: Member discount (to verify)"
"Milu","Milu, Berawa, Bali","Work Cafes","Berawa","Member discount (to verify)","Bright brunch spot founders cycle through between calls. Good food and wifi, easy for a casual catch-up. | Best for: Brunch + casual meetings | Price: $$ | BSTC perk: Member discount (to verify)"
"Copenhagen Bakery Seseh","Copenhagen Bakery Seseh, Seseh, Bali","Work Cafes","Seseh","","Bakery and brunch cafe in Seseh. | Best for: Bakery + brunch"
"openhouse cafe Seseh","openhouse cafe Seseh, Seseh, Bali","Work Cafes","Seseh","","Easygoing cafe in Seseh for coffee and laptop time. | Best for: Cafe work + coffee"
"openhouse cafe Pererenan","openhouse cafe Pererenan, Pererenan, Bali","Work Cafes","Pererenan","","Easygoing cafe in Pererenan for coffee and laptop time. | Best for: Cafe work + coffee"
"Two Face Coffee & Brunch","Two Face Coffee & Brunch, Canggu, Bali","Work Cafes","Canggu","","Coffee and brunch spot in Canggu. | Best for: Coffee + brunch"
"Milk & Madu Beach Road","Milk & Madu Beach Road, Canggu, Bali","Work Cafes","Canggu","","Family-friendly cafe and restaurant on the Batu Bolong beach road. | Best for: Brunch + casual"
"Milk & Madu Berawa","Milk & Madu Berawa, Berawa, Bali","Work Cafes","Berawa","","The Berawa branch of the family-friendly cafe and restaurant. | Best for: Brunch + casual"
